You already have the most recent version of MATLAB Connector installed.

                            < M A T L A B (R) >
                  Copyright 1984-2024 The MathWorks, Inc.
n=2000, N=200 | empirical mean (should be ~0): 0.000794252 | expectation: 1.9901
Eval n=2000, NN=10000 | out-of-sample obj = 1.9014324 | rep = 5
Average eval for n=2000, N=200 over 5 reps = 2.0257765
n=2000, N=400 | empirical mean (should be ~0): -0.00527852 | expectation: 1.9901
Eval n=2000, NN=10000 | out-of-sample obj = 1.9714179 | rep = 1
n=2000, N=400 | empirical mean (should be ~0): -0.00561568 | expectation: 1.9901
Eval n=2000, NN=10000 | out-of-sample obj = 1.887736 | rep = 2
n=2000, N=400 | empirical mean (should be ~0): 0.00157635 | expectation: 1.9901
Eval n=2000, NN=10000 | out-of-sample obj = 1.9242845 | rep = 3
n=2000, N=400 | empirical mean (should be ~0): -0.00188514 | expectation: 1.9901
Eval n=2000, NN=10000 | out-of-sample obj = 1.8698227 | rep = 4
n=2000, N=400 | empirical mean (should be ~0): 0.00834795 | expectation: 1.9901
Eval n=2000, NN=10000 | out-of-sample obj = 1.911387 | rep = 5
Average eval for n=2000, N=400 over 5 reps = 1.9129296
n=2000, N=600 | empirical mean (should be ~0): 0.00191429 | expectation: 1.9901
Eval n=2000, NN=10000 | out-of-sample obj = 1.9267975 | rep = 1
n=2000, N=600 | empirical mean (should be ~0): 0.00458561 | expectation: 1.9901
Eval n=2000, NN=10000 | out-of-sample obj = 1.9251962 | rep = 2
n=2000, N=600 | empirical mean (should be ~0): -0.000165905 | expectation: 1.9901
Eval n=2000, NN=10000 | out-of-sample obj = 1.8608508 | rep = 3
n=2000, N=600 | empirical mean (should be ~0): -0.00198613 | expectation: 1.9901
Eval n=2000, NN=10000 | out-of-sample obj = 1.8811196 | rep = 4
n=2000, N=600 | empirical mean (should be ~0): -0.00039465 | expectation: 1.9901
Eval n=2000, NN=10000 | out-of-sample obj = 1.8989197 | rep = 5
Average eval for n=2000, N=600 over 5 reps = 1.8985768
n=5000, N=200 | empirical mean (should be ~0): -0.000886698 | expectation: 1.9901
Eval n=5000, NN=10000 | out-of-sample obj = 2.0365849 | rep = 1
n=5000, N=200 | empirical mean (should be ~0): 0.0030768 | expectation: 1.9901
Eval n=5000, NN=10000 | out-of-sample obj = 1.9733118 | rep = 2
n=5000, N=200 | empirical mean (should be ~0): -0.00526982 | expectation: 1.9901
Eval n=5000, NN=10000 | out-of-sample obj = 1.913425 | rep = 3
n=5000, N=200 | empirical mean (should be ~0): -0.00196678 | expectation: 1.9901
Eval n=5000, NN=10000 | out-of-sample obj = 2.3701031 | rep = 4
n=5000, N=200 | empirical mean (should be ~0): -0.00616078 | expectation: 1.9901
Eval n=5000, NN=10000 | out-of-sample obj = 2.0830372 | rep = 5
Average eval for n=5000, N=200 over 5 reps = 2.0752924
n=5000, N=400 | empirical mean (should be ~0): -0.00266494 | expectation: 1.9901
Eval n=5000, NN=10000 | out-of-sample obj = 1.9204278 | rep = 1
n=5000, N=400 | empirical mean (should be ~0): 0.0016248 | expectation: 1.9901
Eval n=5000, NN=10000 | out-of-sample obj = 2.230459 | rep = 2
n=5000, N=400 | empirical mean (should be ~0): 0.00641828 | expectation: 1.9901
Eval n=5000, NN=10000 | out-of-sample obj = 2.1917347 | rep = 3
n=5000, N=400 | empirical mean (should be ~0): 0.00289639 | expectation: 1.9901
Eval n=5000, NN=10000 | out-of-sample obj = 2.0423623 | rep = 4
n=5000, N=400 | empirical mean (should be ~0): -0.00297301 | expectation: 1.9901
Eval n=5000, NN=10000 | out-of-sample obj = 1.9464326 | rep = 5
Average eval for n=5000, N=400 over 5 reps = 2.0662833
n=5000, N=600 | empirical mean (should be ~0): 0.0016799 | expectation: 1.9901
Eval n=5000, NN=10000 | out-of-sample obj = 2.3979333 | rep = 1
n=5000, N=600 | empirical mean (should be ~0): -0.00202383 | expectation: 1.9901
Eval n=5000, NN=10000 | out-of-sample obj = 2.0187599 | rep = 2
n=5000, N=600 | empirical mean (should be ~0): -0.00084067 | expectation: 1.9901
Eval n=5000, NN=10000 | out-of-sample obj = 1.92582 | rep = 3
n=5000, N=600 | empirical mean (should be ~0): -0.00211862 | expectation: 1.9901
Eval n=5000, NN=10000 | out-of-sample obj = 2.1151206 | rep = 4
n=5000, N=600 | empirical mean (should be ~0): 0.00401558 | expectation: 1.9901
Eval n=5000, NN=10000 | out-of-sample obj = 2.1290546 | rep = 5
Average eval for n=5000, N=600 over 5 reps = 2.1173377
Saved results to experiment_results_replications_SMD_1point5_20251018_204019.mat
